Time,NH3,NH4,latitude,longitude
2021-04-05 20:00,2.952916994,4.414628745,43.661829,-79.399094
2021-04-05 21:00,3.043206894,4.463484819,43.661829,-79.399094
2021-04-05 22:00,2.941875478,3.884953845,43.661829,-79.399094
2021-04-05 23:00,3.416319187,5.070847047,43.661829,-79.399094
2021-04-06 0:00,3.377699225,4.970491185,43.661829,-79.399094
2021-04-06 1:00,3.48336038,4.731702438,43.661829,-79.399094
2021-04-06 2:00,3.071855209,4.213994873,43.661829,-79.399094
2021-04-06 3:00,2.565450719,2.665896497,43.661829,-79.399094
2021-04-06 4:00,2.395579276,3.096289987,43.661829,-79.399094
2021-04-06 5:00,2.164755799,2.752673397,43.661829,-79.399094
2021-04-06 6:00,2.049661213,3.122801712,43.661829,-79.399094
2021-04-06 7:00,1.917272196,2.865907385,43.661829,-79.399094
2021-04-06 8:00,1.955796193,2.584530451,43.661829,-79.399094
2021-04-06 9:00,1.986809218,2.49641532,43.661829,-79.399094
2021-04-06 10:00,2.080658229,2.622135674,43.661829,-79.399094
2021-04-06 11:00,2.112574984,3.242188811,43.661829,-79.399094
2021-04-06 12:00,2.407354597,3.37523643,43.661829,-79.399094
2021-04-06 13:00,2.602449392,3.406645388,43.661829,-79.399094
2021-04-06 14:00,2.373501733,3.460024327,43.661829,-79.399094
2021-04-06 15:00,2.12087619,3.001849837,43.661829,-79.399094
2021-04-06 16:00,2.132799499,2.756914526,43.661829,-79.399094
2021-04-06 17:00,1.855237018,2.671203608,43.661829,-79.399094
2021-04-06 18:00,1.886527385,2.340369138,43.661829,-79.399094
2021-04-06 19:00,1.990299076,2.859893355,43.661829,-79.399094
2021-04-06 20:00,1.57358833,2.147907453,43.661829,-79.399094
2021-04-06 21:00,1.253486794,1.74105465,43.661829,-79.399094
2021-04-06 22:00,2.320793735,2.980821896,43.661829,-79.399094
2021-04-06 23:00,2.165383615,2.915278708,43.661829,-79.399094
2021-04-07 0:00,2.160202351,2.849535228,43.661829,-79.399094
2021-04-07 1:00,2.078195802,2.710491754,43.661829,-79.399094
2021-04-07 2:00,2.206102447,3.145483796,43.661829,-79.399094
2021-04-07 3:00,2.025301453,2.775363186,43.661829,-79.399094
2021-04-07 4:00,2.122530287,2.94547635,43.661829,-79.399094
2021-04-07 5:00,1.742869318,2.561432501,43.661829,-79.399094
2021-04-07 6:00,1.766491098,2.56033013,43.661829,-79.399094
2021-04-07 7:00,1.797585473,2.509841977,43.661829,-79.399094
2021-04-07 8:00,2.061920666,2.774700111,43.661829,-79.399094
2021-04-07 9:00,1.955818265,2.571621833,43.661829,-79.399094
2021-04-07 10:00,2.055175201,2.634993681,43.661829,-79.399094
2021-04-07 11:00,2.645027353,3.314760943,43.661829,-79.399094
2021-04-07 12:00,2.850283481,3.878589283,43.661829,-79.399094
2021-04-07 13:00,2.999780365,4.635429739,43.661829,-79.399094
2021-04-07 14:00,3.001763519,4.484073937,43.661829,-79.399094
2021-04-07 15:00,2.563219736,3.533745978,43.661829,-79.399094
2021-04-07 16:00,3.694083649,5.54498781,43.661829,-79.399094
2021-04-07 17:00,4.261444187,5.781852199,43.661829,-79.399094
2021-04-07 18:00,3.777243093,5.023113127,43.661829,-79.399094
2021-04-07 19:00,3.574807611,4.454640128,43.661829,-79.399094
2021-04-07 20:00,3.764569931,5.212818588,43.661829,-79.399094
2021-04-07 21:00,3.856026253,6.0416271,43.661829,-79.399094
2021-04-07 22:00,3.87012557,5.258598941,43.661829,-79.399094
2021-04-07 23:00,3.555467648,5.383815516,43.661829,-79.399094
2021-04-08 0:00,4.103265416,5.840407508,43.661829,-79.399094
2021-04-08 1:00,4.825332843,5.805590297,43.661829,-79.399094
2021-04-08 2:00,5.570788723,7.485196558,43.661829,-79.399094
2021-04-08 3:00,5.647677523,8.167301795,43.661829,-79.399094
2021-04-08 4:00,5.61620359,6.467025023,43.661829,-79.399094
2021-04-08 5:00,5.666417657,7.384926052,43.661829,-79.399094
2021-04-08 6:00,5.982633613,8.420568235,43.661829,-79.399094
2021-04-08 7:00,5.744274995,7.925141776,43.661829,-79.399094
2021-04-08 8:00,5.711696518,8.004112211,43.661829,-79.399094
2021-04-08 9:00,4.946185757,6.942695513,43.661829,-79.399094
2021-04-08 10:00,4.589784506,6.659939568,43.661829,-79.399094
2021-04-08 11:00,4.549765017,5.989820985,43.661829,-79.399094
2021-04-08 12:00,4.760634934,6.927138119,43.661829,-79.399094
2021-04-08 13:00,5.150777159,7.156505961,43.661829,-79.399094
2021-04-08 14:00,5.546679668,7.055310914,43.661829,-79.399094
2021-04-08 15:00,5.911648459,8.170996254,43.661829,-79.399094
2021-04-08 16:00,6.114509315,7.847934196,43.661829,-79.399094
2021-04-08 17:00,5.55016051,7.770792742,43.661829,-79.399094
2021-04-08 18:00,5.329289545,7.025334492,43.661829,-79.399094
2021-04-08 19:00,4.936289357,7.068527509,43.661829,-79.399094
2021-04-08 20:00,5.042693653,7.170725468,43.661829,-79.399094
2021-04-08 21:00,5.276723174,7.143970599,43.661829,-79.399094
2021-04-08 22:00,5.250755453,7.206972408,43.661829,-79.399094
2021-04-08 23:00,5.528845734,6.70332373,43.661829,-79.399094
2021-04-09 0:00,5.405240577,7.591644751,43.661829,-79.399094
2021-04-09 1:00,5.416429209,7.910353163,43.661829,-79.399094
2021-04-09 2:00,5.575050755,8.347873354,43.661829,-79.399094
2021-04-09 3:00,5.951355796,8.701926094,43.661829,-79.399094
2021-04-09 4:00,6.650533075,9.375602604,43.661829,-79.399094
2021-04-09 5:00,7.703885313,10.80565964,43.661829,-79.399094
2021-04-09 6:00,9.307833734,15.30867625,43.661829,-79.399094
2021-04-09 7:00,9.1239183,11.00812893,43.661829,-79.399094
2021-04-09 8:00,9.331260526,10.39563664,43.661829,-79.399094
